emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🇰🇪,\U0001f1f0\U0001f1ea,flag-_kenya,Flag: Kenya,['Kenyan Flag'],"The flag for Kenya, which may show as the letters KE on some platforms.
The Flag: Kenya emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇪 Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms.

Flag: Kenya was added to Emoji 1.0 in 2015.
","[':kenya:\n(Github)\n', ':flag-ke:\n(Slack)\n', ':flag_kenya:\n(Emojipedia)\n']",[],,"The flag for Kenya, which may show as the letters KE on some platforms.
The Flag: Kenya emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇪 Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms.",Flag: Kenya was added to Emoji 1.0 in 2015.
⛹️,\u26f9\ufe0f,person_bouncing_ball,Person Bouncing Ball,[],"A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball.

Person Bouncing Ball was approved as part of Unicode 5.2 in 2009
under the name “Person with Ball”
and added to Emoji 1.0 in 2015.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","[':person_with_ball:\n(Slack)\n', ':bouncing_ball_person:\n(Github)\n', ':person_bouncing_ball:\n(Emojipedia)\n']",['🚩'],,"A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball.","Person Bouncing Ball was approved as part of Unicode 5.2 in 2009
under the name “Person with Ball”
and added to Emoji 1.0 in 2015.
🚩 Previously displayed a gendered appearance, now shown as gender neutral."
🔇,\U0001f507,muted_speaker,Muted Speaker,['Mute Volume'],"A speaker with a red line through it, indicating muted volume or silencing of audio.

Muted Speaker was approved as part of Unicode 6.0 in 2010
under the name “Speaker with Cancellation Stroke”
and added to Emoji 1.0 in 2015.
","[':mute:\n(Github, Slack)\n', ':muted_speaker:\n(Emojipedia)\n']",[],,"A speaker with a red line through it, indicating muted volume or silencing of audio.","Muted Speaker was approved as part of Unicode 6.0 in 2010
under the name “Speaker with Cancellation Stroke”
and added to Emoji 1.0 in 2015."
📩,\U0001f4e9,envelope_with_arrow,Envelope with Arrow,"['Down Arrow Envelope', 'Insert In Envelope']","The back of envelope with a down arrow on top. Generally depicted in white with a red or blue arrow.
Commonly used an icon before an email address. May also represent downloading, direct messages, or mail (post) more generally. Its original intent may have been to indicate sealing and delivering a letter in an envelope.
Microsoft’s design previously resembled an incoming envelope. Early designs from Apple featured a right arrow with the envelope oriented lengthwise. Google's envelope design was previously yellow. SoftBank originally animated a rightward-moving arrow and envelope, suggesting sending or sent. 

Envelope with Arrow was approved as part of Unicode 6.0 in 2010
under the name “Envelope with Downwards Arrow Above”
and added to Emoji 1.0 in 2015.
","[':envelope_with_arrow:\n(Github, Slack, Emojipedia)\n']",[],"Commonly used an icon before an email address. May also represent downloading, direct messages, or mail (post) more generally. Its original intent may have been to indicate sealing and delivering a letter in an envelope.","The back of envelope with a down arrow on top. Generally depicted in white with a red or blue arrow.
Commonly used an icon before an email address. May also represent downloading, direct messages, or mail (post) more generally. Its original intent may have been to indicate sealing and delivering a letter in an envelope.
Microsoft’s design previously resembled an incoming envelope. Early designs from Apple featured a right arrow with the envelope oriented lengthwise. Google's envelope design was previously yellow. SoftBank originally animated a rightward-moving arrow and envelope, suggesting sending or sent. ","Envelope with Arrow was approved as part of Unicode 6.0 in 2010
under the name “Envelope with Downwards Arrow Above”
and added to Emoji 1.0 in 2015."
✔️,\u2714\ufe0f,check_mark,Check Mark,"['Check', 'Tick']","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.
Previously shown in red on Samsung and green on Google. Note: this emoji is not supported in Twitter names, to minimize confusion with a verified checkmark.
See also: ✅ Check Mark Button, ☑️ Check Box with Check.

Check Mark was approved as part of Unicode 1.1 in 1993
under the name “Heavy Check Mark”
and added to Emoji 1.0 in 2015.
","[':heavy_check_mark:\n(Github, Slack)\n', ':check_mark:\n(Emojipedia)\n']","['☑️', '✅']","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.
Previously shown in red on Samsung and green on Google. Note: this emoji is not supported in Twitter names, to minimize confusion with a verified checkmark.
See also: ✅ Check Mark Button, ☑️ Check Box with Check.","Check Mark was approved as part of Unicode 1.1 in 1993
under the name “Heavy Check Mark”
and added to Emoji 1.0 in 2015."
📑,\U0001f4d1,bookmark_tabs,Bookmark Tabs,[],"Sheets of white, printed paper with variously colored tabs to bookmark important sections or indicate signature lines. Commonly used for content concerning various types of documents and writing.
The number of pages and tabs vary, with Microsoft and Twitter’s designs featuring one page with a single, purple-colored tab. Facebook’s is printed with NDA, or nondisclosure agreement. Most platforms indicate text with dark lines. Apple’s design features an easter egg, addressed Dear Katie and signed Take care from John Appleseed with the text of its 1997–2002 Crazy Ones/Think Different ad campaign:
Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They’re not fond of rules. You can quote them, disagree with them, glorify or vilify them. About the only thing you can’t do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the ones who are crazy enough to think that they can change the world, are the ones who do.
Early designs from au by KDDI resemble 📃 Page With Curl.
Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.

Bookmark Tabs was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':bookmark_tabs:\n(Github, Slack, Emojipedia)\n']","['📄', '📃']","Sheets of white, printed paper with variously colored tabs to bookmark important sections or indicate signature lines. Commonly used for content concerning various types of documents and writing.
Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.","Sheets of white, printed paper with variously colored tabs to bookmark important sections or indicate signature lines. Commonly used for content concerning various types of documents and writing.
The number of pages and tabs vary, with Microsoft and Twitter’s designs featuring one page with a single, purple-colored tab. Facebook’s is printed with NDA, or nondisclosure agreement. Most platforms indicate text with dark lines. Apple’s design features an easter egg, addressed Dear Katie and signed Take care from John Appleseed with the text of its 1997–2002 Crazy Ones/Think Different ad campaign:
Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They’re not fond of rules. You can quote them, disagree with them, glorify or vilify them. About the only thing you can’t do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the ones who are crazy enough to think that they can change the world, are the ones who do.
Early designs from au by KDDI resemble 📃 Page With Curl.
Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.","Bookmark Tabs was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🦛,\U0001f99b,hippopotamus,Hippopotamus,['Hippo'],"A hippopotamus, a squat water mammal with huge jaws. Generally depicted in gray or tan in full profile facing left.
Google’s design used to feature a purple, cartoon-styled hippopotamus face. Facebook’s hippopotamus is opening massive jaws, revealing tusks.

Hippopotamus was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","[':hippopotamus:\n(Github, Slack, Emojipedia)\n']",[],,"A hippopotamus, a squat water mammal with huge jaws. Generally depicted in gray or tan in full profile facing left.
Google’s design used to feature a purple, cartoon-styled hippopotamus face. Facebook’s hippopotamus is opening massive jaws, revealing tusks.","Hippopotamus was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
🌳,\U0001f333,deciduous_tree,Deciduous Tree,['Rounded Tree'],"A deciduous tree, whose leaves change color before shedding, as 🍂 Fallen Leave, in the fall/autumn. Depicted as a generic tree with a round, lush, leafy top and brown trunk.
May be used to represent various types of trees, forests, temperate climates, nature, and the seasons of spring and summer.

Deciduous Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':deciduous_tree:\n(Github, Slack, Emojipedia)\n']",['🍂'],,"A deciduous tree, whose leaves change color before shedding, as 🍂 Fallen Leave, in the fall/autumn. Depicted as a generic tree with a round, lush, leafy top and brown trunk.
May be used to represent various types of trees, forests, temperate climates, nature, and the seasons of spring and summer.","Deciduous Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇻🇮,\U0001f1fb\U0001f1ee,flag-_us_virgin_islands,Flag: U.S. Virgin Islands,['US Virgin Islander Flag'],"The flag for US Virgin Islands, which may show as the letters VI on some platforms.
The Flag: U.S. Virgin Islands emoji is a flag sequence combining 🇻 Regional Indicator Symbol Letter V and 🇮 Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms.

Flag: U.S. Virgin Islands was added to Emoji 1.0 in 2015.
","[':flag-vi:\n(Slack)\n', ':us_virgin_islands:\n(Github)\n', ':flag_u_s_virgin_islands:\n(Emojipedia)\n']",[],,"The flag for US Virgin Islands, which may show as the letters VI on some platforms.
The Flag: U.S. Virgin Islands emoji is a flag sequence combining 🇻 Regional Indicator Symbol Letter V and 🇮 Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms.",Flag: U.S. Virgin Islands was added to Emoji 1.0 in 2015.
🍭,\U0001f36d,lollipop,Lollipop,"['Lollypop', 'Sucker']","A colorful lollipop made of swirled hard candy attached to a stick. Colors vary by platform, though most designs show rainbow colors or pinks and reds.
Samsung, Microsoft, and Facebook all used to have pink and red designs, but have since opted for rainbow colors. 

Lollipop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':lollipop:\n(Github, Slack, Emojipedia)\n']",[],,"A colorful lollipop made of swirled hard candy attached to a stick. Colors vary by platform, though most designs show rainbow colors or pinks and reds.
Samsung, Microsoft, and Facebook all used to have pink and red designs, but have since opted for rainbow colors. ","Lollipop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
